callsign,latitude,longitude
RMTR00,55.03682,-1.70989
HBAL188,40.47885,-117.69965
HBAL186,39.00238,-119.18536
HBAL117,39.07370,-120.81808
CONTROL,42.68451,23.40988
HBAL015,39.17496,-111.24365
HBAL074,-2.83987,-41.98473
00000000,44.57016,26.07757
TTN,45.45953,9.27441
TTS,45.43615,9.28197
SWP1,25.27158,55.34711
ERADUBA,43.55808,-6.02827
ERADUBB,43.55808,-6.02827
KUSARC2,40.97216,28.81523
YOLSUPUR,40.98273,28.82756
FREN2,40.97189,28.81526
INDRAMK1,14.74951,-17.48737
LIBRE,-33.39217,-70.79401
FAUNA1,40.47252,-3.55718
FREN1,40.97193,28.81528
ECO1,-33.39104,-70.79003
1EEJ911,-31.93778,115.95890
00000000,44.50085,26.06722
ESC725,45.45062,-73.74699
AFR990,-25.92751,28.31032
ORION1,47.45345,8.56175
AMBI,22.65430,88.44395
HBAL264,-8.56049,-78.98355
F12,41.30558,2.08814
MT1,-26.13008,28.23547
ELC4,25.25474,55.36481
FUEL954,58.88141,5.63026
ELEC10,25.26698,55.34198
FUEL911,58.88355,5.61795
AP12,-37.00454,174.79372
FOLOWME5,13.19982,77.70407
F02,41.29988,2.07149
DMGR,31.99155,34.88530
FOLOWME3,13.20332,77.70555
DTD2TEG,8.98060,38.78770
HERON1,46.23900,6.11406
BRD2,32.01188,34.87372
NAVETTE3,46.23701,6.11441
YELLOW3,46.23428,6.10857
DAL476,41.32452,2.15906
V7,52.31417,4.74372
SASTAU1,58.88457,5.62749
TJ08,47.45296,8.55895
MEISTRAS,54.64284,25.29073
FDX96,35.05528,-89.95653
AIR21,25.23635,55.39782
PAPA8,40.49368,-3.59073
DAL55,31.24730,-76.48582
KF,52.31335,4.76084
BAW27,22.15840,114.50188
HAUKKA1,60.31570,24.90653
AAL125,21.72336,113.42455
EVA005,30.61483,128.95586
N,45.97884,4.94231
THY24,24.72322,106.47170
TE13,47.46109,8.55857
A6EDW,25.23662,55.39728
ETD182,24.71570,54.48545
MAGELAN4,46.22453,6.09879
FM1,32.00514,34.87495
RA23030,43.44474,39.93543
8Z151,-4.38829,15.44619
TU012,47.45424,8.55557
UAE179,48.01410,43.83421
F10,41.29250,2.08111
MAS1,9.52144,95.62647
EVA029,29.56667,127.41766
UAE222,26.39149,56.05183
FAUNA5,40.47953,-3.54629
00000000,48.10723,16.57222
CAM134,45.46508,-73.75939
AAR221,37.15101,126.27286
CSN399,40.96870,-74.61786
UAL49,50.96115,-65.97427
FDX28,37.71661,-122.22140
DAAOPS2,53.42348,-6.24178
YELLOW7,46.22972,6.10200
KAL082,37.42944,123.46508
UAL83,43.52728,-73.64104
AAL150,49.00177,2.56121
00000000,48.11795,16.56616
N688ZJ,51.27771,-0.78150
CQH8533,16.37462,108.72466
AIRPORT1,46.22893,6.10397
KAL018,36.78916,128.04993
AIC174,40.10708,65.48969
CPA831,40.78047,113.82294
CLX128,49.61846,6.20143
UAL895,48.30840,115.30018
AIC144,25.30591,75.17741
SIA52,53.36184,-2.28055
AIC126,31.41285,74.20364
SIA31,14.68341,123.47662
CES590,31.15812,121.80912
ETD278,10.18790,68.90074
BAW11,1.36853,103.98769
VPBCB,55.97887,37.39646
AIB244TE,53.53861,9.82248
UAE409,23.53718,57.90858
ACA43,51.74751,-70.81596
CPA3123,22.30235,113.92634
UAL179,38.50890,114.67371
CRK350,22.33935,113.98621
SQB02ERA,31.52493,74.39964
BAW33,2.74665,101.71623
AFR274,37.86154,139.34860
CRK081,25.95431,113.74804
AFR256,1.35914,103.98371
CAL5173,26.96970,123.83789
QTR914,-35.00105,138.45526
F08,41.29078,2.07013
ACA031,40.38249,115.68018
GIA088,52.32372,4.69299
FDX41,35.06112,-89.95820
P14,40.49793,-3.57713
AIC102,31.66981,71.42404
CES586,33.86270,123.36394
CES768,36.87044,120.58349
AAR201,37.25391,126.71438
LIGHT,42.69213,23.42000
FDX12,37.71889,-122.21667
CHH496,40.38583,116.85265
CSN432,40.44576,122.81287
TUG2,25.26228,55.36397
AFR393,47.22354,-1.23720
VJT726,43.28796,-73.50735
DLH778,2.17337,104.10509
CCA967,46.21367,10.46043
CCA880,45.06457,125.11170
SIA319,3.46591,100.78373
UAE415,19.25520,70.04691
JAS27,41.94250,-72.67621
TAM8063,-22.58998,-46.28616
CSN330,27.00290,113.61247
SIA325,1.52673,104.05265
AZA680,-27.04299,-50.22358
CPA879,27.95586,129.57909
AFR460,-18.68852,56.33554
DLH510,-24.28407,-52.41691
UAL198,33.62403,130.30695
KAL024,37.44293,126.47613
AAR211,37.11227,127.17341
CKK222,33.76131,130.59576
CPA807,51.42155,117.41562
FWZNF,43.62062,1.36414
DAL159,41.64180,124.18796
AZA688,-22.88527,-54.96078
CES208,48.55826,126.81425
DLH506,-23.31532,-46.59653
UAL853,41.08205,112.29114
DLH511,45.60594,5.38786
ARG1140,4.55176,-23.40337
CES582,31.14209,121.79880
DLH455,53.14540,2.57308
RYR21GH,37.78195,-0.80349
UAL123,54.17686,-16.09995
THA917,14.08135,100.86394
DAL185,33.96875,131.65215
AFR102,24.69695,108.05582
RANGER4,42.68914,23.39983
OH4,52.29919,4.75384
BAW59,-33.96692,18.59819
AZA674,-23.43679,-46.47874
BAW2063,-20.25362,56.86478
CAL5235,29.88291,127.86341
CHH7962,52.35196,127.12527
CES588,56.56493,128.46494
UPS2,22.30256,113.91514
FDX1977,40.60753,-74.25238
SWR92,-21.52180,-42.23145
UAL857,32.77350,128.34300
DLH520,24.61957,-97.92840
TU014,47.45422,8.55771
DLH730,22.31379,113.91543
CCA818,53.30962,136.99338
CPA3281,22.27176,114.98479
UAE208,34.08293,48.45273
PAL101,15.19304,122.18686
CMP362,21.20311,-97.91415
MSR986,35.98549,26.19461
SWR138,21.46399,113.41202
VIR206,22.40117,114.17852
EVA068,14.34352,100.30456
JAL65,35.77247,140.39633
BAW251,-18.11499,-55.91954
BAW15,14.14746,98.18041
BAW245,-19.95982,-50.20247
CHH7978,40.08168,116.57704
FIN81,1.44217,104.01723
CES710,38.82368,112.36395
ZEBRA7,47.45530,8.56129
AMX004,26.21938,-97.33078
SWR178,4.49001,100.74927
CCA982,58.89486,130.70322
IBE6051,-26.13876,28.25616
UAL871,32.45197,132.62085
SIA321,13.02201,98.77398
FMS,52.37069,13.52133
CPA254,22.75438,113.62755
SHT7J,51.72671,-0.55054
AIC191,59.41317,-36.04014
AIC103,66.98286,-62.19713
KLM394,51.28981,4.01728
P21,40.46719,-3.56875
ETH684,31.14402,121.81012
SVA038,26.70474,35.74070
CSN336,15.86891,118.21456
CHH498,50.78509,127.52609
UAL869,47.50449,115.23891
DAL469,45.86731,-69.99060
AEA039,5.69176,-79.42432
ACA82,32.22569,34.46922
TAM8085,-20.89590,-45.08916
ANA111,53.35434,148.02724
KLM592,52.31504,4.77392
UAL194,48.53293,11.16634
FDX5170,52.03569,18.59207
AFL2450,49.57837,4.82003
FOLLOW1,50.10590,14.25907
CCA988,45.99314,127.50918
THY1RD,46.00357,18.77268
CHH482,58.90791,130.99329
KAL020,37.10831,124.51085
SVA020,27.79536,30.42047
ANZ99,35.59753,140.52773
CPA837,34.97864,137.41643
TAM8101,-22.83055,-46.28225
SWR93,43.64195,6.08732
ROU1955,35.81948,138.39565
VHTGG,-36.70676,147.12399
AMX022,21.47310,-96.53214
AMX008,25.09644,-97.76184
BAW247,-11.19328,-38.04438
JBU894,40.68654,-74.18515
CHH7976,56.72749,128.61711
SAS940,59.65348,17.95354
JAL17,35.77422,140.39183
IBE6833,-13.62726,-52.25263
MDG058,-18.63183,47.19407
DLH507,48.55321,8.95414
AFR228,-17.51193,-48.38693
SAS97C,41.94617,2.70957
CES570,30.87172,121.88981
IBE2882,51.89751,5.38416
AMX097,39.81198,-115.29572
FDX5030,54.40187,25.91085
ELY027,45.36902,-70.17872
AMX026,23.99652,-98.14413
AIC127,73.17696,-62.55857
QTR8163,26.28949,-98.18872
AFR188,25.75167,107.56087
BOX571,52.00294,17.05659
AFR442,-19.42671,-43.33357
CCA986,45.11945,125.09958
BAW161,31.02958,121.59992
MPH8341,-24.53590,26.85211
AFR454,-17.65694,-45.16465
TOM45X,42.11102,18.30808
AIC101,59.17963,-38.14211
SER338,45.46758,-73.73589
CLX766,-16.40762,-44.50336
CSN304,25.42090,113.56693
SAA210,5.63228,-1.48292
CES2856,51.79570,135.23994
QFA10,-26.85100,117.40430
IBE6409,21.92880,-93.20506
AAL722,53.42371,-6.24112
DAL420,5.59685,-0.17067
KAL072,37.95204,122.65913
UAL990,50.37525,0.58732
AFR406,-15.65626,-47.59812
UAL970,45.94643,3.06043
VPCWW,31.80336,-14.91097
AAR271,37.81919,137.76640
UAL955,67.26437,-99.58406
RYR3717,47.44967,19.21917
ELY006,57.34845,9.63155
UAE425,23.26034,58.21386
KAL122,35.36732,128.90775
AEA041,-21.98774,-46.31882
ELY001,45.76844,-67.56571
IBE6314,41.36320,-9.90293
AAL904,25.69469,-80.26181
SVA042,49.26023,-3.62910
UAL952,48.35396,11.79462
LAN704,25.14431,-19.40325
AIC173,54.89724,172.46513
AFR083,51.63234,-2.92618
IBE6586,39.99191,-4.53267
AAL834,27.97693,-82.53884
UAE761,-25.35516,28.76475
CSN660,47.13213,130.69604
FDX14,35.06494,-89.98022
JAL772,35.76948,140.39444
AEA075,-1.77324,-72.42661
AEA024,34.12610,-10.61885
CFG059,56.30283,-11.38600
RYR8BY,51.16393,-0.07609
AFR065,52.45776,-1.59529
IBS3932,40.49463,-3.58752
THY60,5.94031,99.72355
PAL721,34.20612,113.87929
UAE440,-26.08447,116.56316
AEA025,-10.52124,-54.59798
THY52,37.10513,124.23112
ETD76T,24.43802,54.64733
AUA82,57.02742,5.53677
ACA093,36.49411,-78.07411
AAL786,49.00570,2.56162
AFR459,43.10454,-2.08740
AEA057,-19.21111,-44.18530
THY26,31.64817,118.40658
THY72,22.96427,113.08233
T7SKA,53.55621,-3.47410
UAE231,59.07813,-38.97146
N866AB,47.24317,-9.81128
